ID,DAY,MONTH,YEAR,DATE,HOUR,MIN,SEC,TIME,TYPE,LIKES,COMMENTS,TOTAL_WORDS,POS,NEG,NEU,COMP
1405174859572227_1408600915896288,7,7,2017,7/7/17,6,38,18,06:38:18,video,4,0,164,0.103,0,0.897,0.95
1405174859572227_1408118695944510,6,7,2017,7/6/17,18,45,48,18:45:48,video,8,1,0,0,0,0,0
1405174859572227_1407301372692909,5,7,2017,7/5/17,23,6,28,23:06:28,video,0,0,9,0.307,0.203,0.49,0.359
1405174859572227_1407297679359945,5,7,2017,7/5/17,22,58,27,22:58:27,video,4,0,0,0,0,0,0
1405174859572227_1407290579360655,5,7,2017,7/5/17,22,48,9,22:48:09,video,3,0,0,0,0,0,0
1405174859572227_1407287952694251,5,7,2017,7/5/17,22,45,17,22:45:17,video,7,0,0,0,0,0,0
1405174859572227_1407284489361264,5,7,2017,7/5/17,22,40,7,22:40:07,video,2,0,0,0,0,0,0
1405174859572227_1407282999361413,5,7,2017,7/5/17,22,36,59,22:36:59,video,5,1,0,0,0,0,0
1405174859572227_1406606309429082,5,7,2017,7/5/17,6,26,20,06:26:20,video,6,0,0,0,0,0,0
1405174859572227_1405187736237606,3,7,2017,7/3/17,19,9,11,19:09:11,video,5,1,0,0,0,0,0
1405174859572227_1403682583054788,2,7,2017,7/2/17,6,15,29,06:15:29,video,6,0,0,0,0,0,0
1405174859572227_1403673863055660,2,7,2017,7/2/17,5,58,24,05:58:24,video,11,1,0,0,0,0,0
1405174859572227_1403672813055765,2,7,2017,7/2/17,5,55,31,05:55:31,video,4,0,0,0,0,0,0
1405174859572227_1402590293164017,1,7,2017,7/1/17,4,21,59,04:21:59,photo,110,1,123,0.205,0,0.795,0.978
1405174859572227_1402382836518096,30,6,2017,6/30/17,23,7,9,23:07:09,video,2,0,7,0.74,0,0.26,0.908
1405174859572227_1401629733260073,30,6,2017,6/30/17,6,41,44,06:41:44,video,0,0,0,0,0,0,0
1405174859572227_1401610896595290,30,6,2017,6/30/17,6,3,11,06:03:11,photo,0,0,154,0.097,0.042,0.861,0.756
1405174859572227_1401131959976517,29,6,2017,6/29/17,18,27,44,18:27:44,video,6,0,0,0,0,0,0
1405174859572227_1401128899976823,29,6,2017,6/29/17,18,24,20,18:24:20,video,1,0,0,0,0,0,0
1405174859572227_1401124403310606,29,6,2017,6/29/17,18,18,6,18:18:06,video,5,0,27,0.187,0.118,0.695,0.315
1405174859572227_1400898263333220,29,6,2017,6/29/17,13,38,35,13:38:35,status,14,0,72,0.254,0.022,0.724,0.965
1405174859572227_1400378206718559,29,6,2017,6/29/17,4,16,14,04:16:14,video,5,0,1,0,0,0,0
1405174859572227_1400376530052060,29,6,2017,6/29/17,4,14,19,04:14:19,video,5,0,0,0,0,0,0
1405174859572227_1398895283533518,27,6,2017,6/27/17,21,34,13,21:34:13,video,8,0,6,0,0,1,0
1405174859572227_1398884830201230,27,6,2017,6/27/17,21,20,16,21:20:16,video,3,0,0,0,0,0,0
1405174859572227_1398879143535132,27,6,2017,6/27/17,21,13,22,21:13:22,video,9,1,1,0,0,0,0
1405174859572227_1398873996868980,27,6,2017,6/27/17,21,10,43,21:10:43,video,4,1,0,0,0,0,0
1405174859572227_1392219337534446,20,6,2017,6/20/17,20,59,31,20:59:31,video,3,0,0,0,0,0,0
1405174859572227_1392218284201218,20,6,2017,6/20/17,20,57,53,20:57:53,video,1,0,2,0.808,0,0.192,0.637
1405174859572227_1392217234201323,20,6,2017,6/20/17,20,55,42,20:55:42,video,4,0,0,0,0,0,0
1405174859572227_1392213174201729,20,6,2017,6/20/17,20,47,33,20:47:33,link,0,0,2,0.756,0,0.244,0.475
1405174859572227_1392212204201826,20,6,2017,6/20/17,20,44,53,20:44:53,video,3,0,25,0.169,0.119,0.712,0.357
1405174859572227_1390557431033970,19,6,2017,6/19/17,6,14,49,06:14:49,status,10,0,1,0,0,1,0
1405174859572227_1390033894419657,18,6,2017,6/18/17,19,8,54,19:08:54,video,9,1,4,0.61,0,0.39,0.689
1405174859572227_1389352027821177,18,6,2017,6/18/17,4,49,20,04:49:20,video,4,1,0,0,0,0,0
1405174859572227_1389345111155202,18,6,2017,6/18/17,4,36,50,04:36:50,video,12,1,8,0.454,0,0.546,0.61
1405174859572227_1389328384490208,18,6,2017,6/18/17,4,19,47,04:19:47,link,3,0,3,0,0,1,0
1405174859572227_1389134914509555,17,6,2017,6/17/17,23,33,51,23:33:51,video,0,0,0,0,0,0,0
1405174859572227_1389131404509906,17,6,2017,6/17/17,23,28,8,23:28:08,video,6,0,0,0,0,0,0
1405174859572227_1389129167843463,17,6,2017,6/17/17,23,24,1,23:24:01,video,4,0,0,0,0,0,0
1405174859572227_1389123267844053,17,6,2017,6/17/17,23,11,13,23:11:13,photo,2,0,0,0,0,0,0
1405174859572227_1388980817858298,17,6,2017,6/17/17,19,29,14,19:29:14,photo,67,5,273,0.154,0.038,0.808,0.983
1405174859572227_1387908844632162,16,6,2017,6/16/17,18,26,43,18:26:43,photo,36,1,23,0.098,0,0.902,0.338
1405174859572227_1380784062011307,9,6,2017,6/9/17,8,8,57,08:08:57,photo,45,2,128,0.22,0.121,0.659,0.957
1405174859572227_1378077202281993,6,6,2017,6/6/17,22,1,44,22:01:44,video,1,0,0,0,0,0,0
1405174859572227_1374695519286828,3,6,2017,6/3/17,22,27,53,22:27:53,video,4,0,0,0,0,0,0
1405174859572227_1371893469567033,1,6,2017,6/1/17,6,24,41,06:24:41,video,7,1,0,0,0,0,0
1405174859572227_1371892506233796,1,6,2017,6/1/17,6,22,43,06:22:43,video,12,0,0,0,0,0,0
1405174859572227_1370639236359123,30,5,2017,5/30/17,22,6,48,22:06:48,video,7,0,0,0,0,0,0
